pipeline,k,n,hit_at_k,hit_at_k_lo,hit_at_k_hi,recall_at_k,recall_at_k_lo,recall_at_k_hi,mrr,mrr_lo,mrr_hi,ndcg_at_k,ndcg_at_k_lo,ndcg_at_k_hi
sentwin,1,136,0.1764705882352941,0.1102941176470588,0.2352941176470588,0.1764705882352941,0.1102941176470588,0.2352941176470588,0.1764705882352941,0.1102941176470588,0.2352941176470588,0.1764705882352941,0.1102941176470588,0.2352941176470588
sentwin,3,136,0.4338235294117647,0.3529411764705882,0.5073529411764706,0.4338235294117647,0.3529411764705882,0.5073529411764706,0.3063725490196078,0.2401348039215687,0.3713235294117647,0.3387585076680698,0.2706128237014202,0.4049436984821454
sentwin,5,136,0.5514705882352942,0.4632352941176471,0.625,0.5514705882352942,0.4632352941176471,0.625,0.3205882352941177,0.258936887254902,0.3770925245098039,0.3779189006378655,0.3124262504424883,0.4353618757229374
sentwin,10,136,0.7720588235294118,0.6985294117647058,0.8382352941176471,0.7720588235294118,0.6985294117647058,0.8382352941176471,0.3410189075630252,0.28331940067693745,0.3965338322829132,0.4424053170360217,0.38583712025522443,0.49472038658498263
