pipeline,k,n,correctly_answered,wrongly_refused,correctly_refused,wrongly_answered,answerability_acc,answerability_acc_lo,answerability_acc_hi,long_context_n,long_context_f1,long_context_answerability,noise_n,noise_robust_f1,noise_robust_answerability,noise_f1_delta
sentwin,1,200,59,67,56,18,0.575,0.5057093264785485,0.6414638745648614,80,0.1140086762466559,0.5375,112,0.1012124743180268,0.5714285714285714,0.0097659487188277
sentwin,3,200,64,62,52,22,0.58,0.5107207393958046,0.6462640083838327,80,0.1286915342646186,0.5625,77,0.1101074114173703,0.5454545454545454,0.0334023730534798
sentwin,5,200,65,61,54,20,0.595,0.525797100813387,0.6606222871749323,80,0.1124861974215271,0.5625,61,0.1007443273642725,0.6229508196721312,0.0405677164071177
sentwin,10,200,68,58,53,21,0.605,0.5358834915928536,0.6701589898679203,80,0.1221379417031372,0.575,85,0.12323534168738706,0.6941176470588235,0.011178061733476019
