pipeline,k,n,correctly_answered,wrongly_refused,correctly_refused,wrongly_answered,answerability_acc,answerability_acc_lo,answerability_acc_hi,long_context_n,long_context_f1,long_context_answerability,noise_n,noise_robust_f1,noise_robust_answerability,noise_f1_delta
pc,1,200,60,66,54,20,0.57,0.5007048776415268,0.6366567766656557,80,0.1211552483625137,0.5125,112,0.1087221259056637,0.5714285714285714,0.0060560987910852
pc,3,200,68,58,54,20,0.61,0.5409374595716976,0.6749165686253038,80,0.1287160701050165,0.5875,76,0.1118109456791342,0.631578947368421,0.0243423697344597
pc,5,200,66,60,53,21,0.595,0.525797100813387,0.6606222871749323,80,0.1166465067588502,0.5375,54,0.0967558506960884,0.5740740740740741,0.0431578521569924
pc,10,200,68,58,54,20,0.61,0.5409374595716976,0.6749165686253038,80,0.11960409239523352,0.5375,123,0.13265922384137985,0.6666666666666666,0.0002188583965657409
