Pipeline,pipeline_key,K Value,Total Questions,Correct Answers,Recall@K,MRR,nDCG@K,Context Precision,Context Recall,Yes/No EM (%),F1 Score,ROUGE-L,Semantic Similarity,Faithfulness Score,Hallucination Rate,Groundedness,Avg Latency / Question (s),Retrieval Latency (s),Generation Latency (s),Retrieval p95 (s),Answerability Accuracy,Long Context Accuracy,Noise Robustness
Dense Retrieval,dense,1,200,59,0.2698,0.2698,0.2698,,,13.79,0.1333,0.118,0.3247,,0.5981,0.4019,0.337,0.017,0.32,0.034,0.68,0.617,0.1254
Dense Retrieval,dense,3,200,62,0.5079,0.3743,0.4086,,,20.69,0.1336,0.1185,0.3546,,0.4944,0.5056,0.356,0.018,0.338,0.036,0.715,0.7128,0.1374
Dense Retrieval,dense,5,200,64,0.6667,0.4097,0.4732,,,24.14,0.1353,0.1176,0.3516,,0.466,0.534,0.392,0.016,0.376,0.032,0.71,0.7021,0.1409
Dense Retrieval,dense,10,200,65,0.8651,0.4367,0.5379,,,24.14,0.1323,0.1175,0.3566,,0.4005,0.5995,0.384,0.017,0.367,0.035,0.725,0.7234,0.1354
