pipeline,k,n,correctly_answered,wrongly_refused,correctly_refused,wrongly_answered,answerability_acc,answerability_acc_lo,answerability_acc_hi,long_context_n,long_context_f1,long_context_answerability,noise_n,noise_robust_f1,noise_robust_answerability,noise_f1_delta
dense,1,200,60,66,54,20,0.57,0.5007048776415268,0.6366567766656557,80,0.119668684611799,0.5125,113,0.1088862905195315,0.5752212389380531,0.0053016809232571
dense,3,200,69,57,54,20,0.615,0.5459986722024608,0.6796669027307678,80,0.1320324248775865,0.6,75,0.1088644189323906,0.6533333333333333,0.0333049611007832
dense,5,200,67,59,53,21,0.6,0.53083672039262,0.6653942143319266,80,0.1212656732947724,0.5375,54,0.0992985287287317,0.5740740740740741,0.0434167766638683
dense,10,200,68,58,54,20,0.61,0.5409374595716976,0.6749165686253038,80,0.1234510533341512,0.5375,122,0.13089020439729793,0.6721311475409836,-0.0003528668204110519
