pipeline,k,n,hit_at_k,hit_at_k_lo,hit_at_k_hi,recall_at_k,recall_at_k_lo,recall_at_k_hi,mrr,mrr_lo,mrr_hi,ndcg_at_k,ndcg_at_k_lo,ndcg_at_k_hi
dense,1,136,0.1691176470588235,0.1176470588235294,0.2352941176470588,0.1691176470588235,0.1176470588235294,0.2352941176470588,0.1691176470588235,0.1176470588235294,0.2352941176470588,0.1691176470588235,0.1176470588235294,0.2352941176470588
dense,3,136,0.4485294117647059,0.3676470588235294,0.5294117647058824,0.4485294117647059,0.3676470588235294,0.5294117647058824,0.2879901960784313,0.2316176470588235,0.3492647058823529,0.3290406237132398,0.2682478809230608,0.3925077026024207
dense,5,136,0.6029411764705882,0.5220588235294118,0.6838235294117647,0.6029411764705882,0.5220588235294118,0.6838235294117647,0.3214460784313726,0.264828431372549,0.3824877450980392,0.3910308825941025,0.3305111623159376,0.4533907724264163
dense,10,136,0.8823529411764706,0.8235294117647058,0.9338235294117647,0.8823529411764706,0.8235294117647058,0.9338235294117647,0.3562704248366013,0.30483579890289453,0.41245863970588237,0.4789430888298244,0.43111969004388406,0.5281729258586013
