pipeline,k,n,hit_at_k,hit_at_k_lo,hit_at_k_hi,recall_at_k,recall_at_k_lo,recall_at_k_hi,mrr,mrr_lo,mrr_hi,ndcg_at_k,ndcg_at_k_lo,ndcg_at_k_hi
hybrid,1,136,0.2058823529411764,0.1397058823529411,0.2720588235294117,0.2058823529411764,0.1397058823529411,0.2720588235294117,0.2058823529411764,0.1397058823529411,0.2720588235294117,0.2058823529411764,0.1397058823529411,0.2720588235294117
hybrid,3,136,0.4338235294117647,0.3455882352941176,0.5147058823529411,0.4338235294117647,0.3455882352941176,0.5147058823529411,0.3039215686274509,0.2365196078431373,0.3639705882352941,0.3371818791491635,0.2655735448240588,0.3990723295194381
hybrid,5,136,0.5661764705882353,0.4779411764705882,0.6398897058823527,0.5661764705882353,0.4779411764705882,0.6398897058823527,0.3333333333333333,0.2713204656862745,0.3919270833333333,0.3909608536854324,0.326761440298534,0.4528206907372663
hybrid,10,136,0.8823529411764706,0.8235294117647058,0.9338235294117647,0.8823529411764706,0.8235294117647058,0.9338235294117647,0.3730187908496732,0.31538741538281984,0.425797589869281,0.4906470865908883,0.44022829388791146,0.5369635454350169
