pipeline,k,n,correctly_answered,wrongly_refused,correctly_refused,wrongly_answered,answerability_acc,answerability_acc_lo,answerability_acc_hi,long_context_n,long_context_f1,long_context_answerability,noise_n,noise_robust_f1,noise_robust_answerability,noise_f1_delta
hybrid,1,200,56,70,51,23,0.535,0.4658664687236316,0.6028143584299599,80,0.1213748372528834,0.5125,108,0.1056276784773851,0.5092592592592593,0.0124836199857834
hybrid,3,200,64,62,54,20,0.59,0.5207645903369208,0.6558432509151711,80,0.1297641907750361,0.55,77,0.1075587895925701,0.5974025974025974,0.0366311219741039
hybrid,5,200,72,54,53,21,0.625,0.5561430369897816,0.6891456314159018,80,0.1338567212125163,0.6125,59,0.1123373207468231,0.6271186440677966,0.0246027679191486
hybrid,10,200,71,55,54,20,0.625,0.5561430369897816,0.6891456314159018,80,0.1340393063055092,0.575,122,0.13618438361543866,0.6967213114754098,-0.005485692928115515
